City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,kapa'a,22.0752,-159.319,20.99,94,0,1.54,US,1682351406
322,uturoa,-16.7333,-151.4333,26.87,80,79,4.82,PF,1682351407
323,sinabang,2.4803,96.3801,27.91,80,98,0.91,ID,1682351407
324,leninskoye,41.7589,69.3864,15.78,62,5,3.31,KZ,1682351408
325,vilyuchinsk,52.9306,158.4028,0.15,84,73,3.58,RU,1682351409
326,broome,42.2506,-75.833,9.74,60,75,3.09,US,1682351409
327,beira,-19.8436,34.8389,22.05,100,0,3.6,MZ,1682351410
328,fiambala,-27.6871,-67.6149,16.55,51,11,0.55,AR,1682351410
329,turkmenbasy,40.0222,52.9552,23.43,38,0,4.12,TM,1682351411
330,sao joao da barra,-21.6403,-41.0511,27.05,65,8,4.25,BR,1682351411
331,weno,7.4515,151.8468,25.97,100,100,0.0,FM,1682351412
332,akureyri,65.6835,-18.0878,1.96,55,40,7.72,IS,1682351412
333,maitum,6.0392,124.4986,25.86,88,100,1.48,PH,1682351412
334,kapoeta,4.7717,33.5903,30.59,42,84,2.17,SS,1682351412
335,taybad,34.74,60.7756,25.56,18,100,4.32,IR,1682351413
336,riti,7.9167,9.6167,35.8,38,98,1.25,NG,1682351413
337,sinop,41.7711,34.8709,8.24,92,95,0.41,TR,1682351413
338,pierre,44.3683,-100.351,9.6,41,0,4.92,US,1682351413
339,twante,16.7167,95.9333,30.07,60,5,4.34,MM,1682351413
340,caarapo,-22.6342,-54.8222,23.64,68,72,4.63,BR,1682351414
341,mbanza-ngungu,-5.25,14.8667,24.53,86,97,1.79,CD,1682351414
342,gao,16.6362,1.637,39.64,8,2,7.57,ML,1682351414
343,sao geraldo do araguaia,-6.4006,-48.555,29.32,63,100,1.55,BR,1682351414
344,belyy yar,53.6039,91.3903,10.94,32,98,2.0,RU,1682351415
345,thanatpin,17.2119,96.3033,30.1,50,6,4.67,MM,1682351415
346,bapatla,15.9,80.4667,28.93,78,8,5.23,IN,1682351415
347,eilat,29.5581,34.9482,30.91,13,0,6.17,IL,1682351415
348,hailey,43.5196,-114.3153,5.92,74,40,2.68,US,1682351416
349,troitskoye,52.9821,84.6757,8.81,87,51,4.97,RU,1682351416
350,grants,35.1473,-107.8514,13.13,26,75,4.12,US,1682351417
351,gornopravdinsk,60.05,69.9,-2.93,81,23,1.9,RU,1682351418
352,al burayqah,30.4062,19.5739,19.49,77,74,8.51,LY,1682351418
353,la'ie,21.6477,-157.9253,22.98,86,29,0.32,US,1682351418
354,opuwo,-18.0607,13.84,30.33,29,29,2.91,NA,1682351419
355,umba,66.6871,34.3429,-0.36,76,97,1.86,RU,1682351419
356,el calafate,-50.3408,-72.2768,12.6,70,86,1.36,AR,1682351420
357,sao gabriel da cachoeira,-0.1303,-67.0892,23.89,94,100,1.03,BR,1682351421
358,sao paulo de olivenca,-3.3783,-68.8725,22.69,99,100,1.64,BR,1682351422
359,sidi bel abbes,35.1899,-0.6309,22.5,33,2,7.02,DZ,1682351422
360,chanika,-5.4167,38.0167,21.77,95,51,2.01,TZ,1682351423
